Focal Length (mm),Best Aperture Value (Negative),Camera ID
13,-inf,
14,-11.898319209031166,1
15,-12.748199152533394,1
16,-13.59807909603562,1
17,-14.447959039537844,1
18,-15.297838983040073,1
19,-16.147718926542296,1
20,-16.997598870044524,1
21,-17.847478813546754,1
22,-18.697358757048978,1
23,-6.0343950732934895,2
24,-6.2967600764801634,2
25,-6.5591250796668366,2
26,-6.82149008285351,2
27,-7.0838550860401845,2
28,-7.346220089226858,2
29,-7.608585092413531,2
30,-7.870950095600204,2
31,-8.133315098786877,2
32,-8.39568010197355,2
33,-8.658045105160225,2
34,-8.920410108346898,2
35,-9.182775111533571,2
36,-9.445140114720244,2
37,-9.70750511790692,2
38,-9.969870121093592,2
39,-10.232235124280265,2
40,-10.494600127466938,2
41,-10.756965130653612,2
42,-11.019330133840285,2
43,-11.281695137026958,2
44,-11.544060140213633,2
45,-11.806425143400306,2
46,-12.068790146586979,2
47,-12.331155149773654,2
48,-12.593520152960327,2
49,-12.855885156147,2
50,-13.118250159333673,2
51,-13.380615162520346,2
52,-13.64298016570702,2
53,-13.905345168893692,2
54,-14.167710172080369,2
55,-14.430075175267039,2
56,-14.692440178453715,2
57,-14.954805181640388,2
58,-15.217170184827062,2
59,-15.479535188013735,2
60,-15.741900191200408,2
61,-16.004265194387077,2
62,-16.266630197573754,2
63,-16.52899520076043,2
64,-16.7913602039471,2
65,-17.053725207133777,2
66,-17.31609021032045,2
67,-17.578455213507123,2
68,-17.840820216693796,2
69,-18.10318521988047,2
70,-14.06164997430956,3
71,-14.262530688228267,3
72,-14.463411402146974,3
73,-14.664292116065683,3
74,-14.86517282998439,3
75,-15.0660535439031,3
76,-15.266934257821807,3
77,-15.467814971740516,3
78,-15.668695685659225,3
79,-15.869576399577932,3
80,-16.07045711349664,3
81,-16.271337827415348,3
82,-16.472218541334055,3
83,-16.67309925525276,3
84,-16.873979969171472,3
85,-17.07486068309018,3
86,-17.27574139700889,3
87,-17.476622110927597,3
88,-17.677502824846304,3
89,-17.87838353876501,3
90,-18.07926425268372,3
91,-18.28014496660243,3
92,-18.481025680521135,3
93,-18.681906394439842,3
94,-18.88278710835855,3
95,-19.08366782227726,3
96,-19.28454853619597,3
97,-19.485429250114677,3
98,-19.686309964033384,3
99,-19.88719067795209,3
100,-20.088071391870802,3
101,-20.288952105789505,3
102,-20.489832819708216,3
103,-20.690713533626926,3
104,-20.891594247545633,3
105,-21.092474961464344,3
106,-21.293355675383044,3
107,-21.494236389301754,3
108,-21.69511710322046,3
109,-21.895997817139172,3
110,-22.096878531057882,3
111,-22.297759244976586,3
112,-22.498639958895296,3
113,-22.699520672814007,3
114,-22.90040138673271,3
115,-23.10128210065142,3
116,-23.302162814570128,3
117,-23.50304352848884,3
118,-23.703924242407542,3
119,-23.904804956326252,3
120,-24.10568567024496,3
121,-24.306566384163666,3
122,-24.507447098082377,3
123,-24.708327812001087,3
124,-24.90920852591979,3
125,-25.1100892398385,3
126,-25.310969953757205,3
127,-25.511850667675915,3
128,-25.712731381594626,3
129,-25.91361209551333,3
130,-26.11449280943204,3
131,-26.315373523350747,3
132,-26.516254237269457,3
133,-26.717134951188168,3
134,-26.91801566510687,3
135,-27.118896379025582,3
136,-27.319777092944285,3
137,-27.520657806862992,3
138,-27.72153852078171,3
139,-27.922419234700413,3
140,-28.12329994861912,3
141,-28.324180662537827,3
142,-28.525061376456534,3
143,-28.725942090375245,3
144,-28.92682280429395,3
145,-29.127703518212662,3
146,-29.328584232131366,3
147,-29.529464946050076,3
148,-29.73034565996878,3
149,-29.93122637388749,3
150,-30.1321070878062,3
151,-30.332987801724904,3
152,-30.533868515643615,3
153,-30.73474922956232,3
154,-30.935629943481032,3
155,-31.13651065739974,3
156,-31.33739137131845,3
157,-31.538272085237153,3
158,-31.739152799155864,3
159,-31.94003351307457,3
160,-32.14091422699328,3
161,-32.34179494091199,3
162,-32.542675654830695,3
163,-32.7435563687494,3
164,-32.94443708266811,3
165,-33.145317796586816,3
166,-33.34619851050552,3
167,-33.54707922442424,3
168,-33.747959938342944,3
169,-33.94884065226165,3
170,-34.14972136618036,3
171,-34.350602080099065,3
172,-34.55148279401778,3
173,-34.75236350793649,3
174,-34.95324422185519,3
175,-35.15412493577389,3
176,-35.35500564969261,3
177,-35.555886363611314,3
178,-35.75676707753002,3
179,-35.95764779144873,3
180,-36.15852850536744,3
181,-36.35940921928615,3
182,-36.56028993320486,3
183,-36.76117064712357,3
184,-36.96205136104227,3
185,-37.16293207496098,3
186,-37.363812788879684,3
187,-37.5646935027984,3
188,-37.7655742167171,3
189,-37.96645493063581,3
190,-38.16733564455452,3
191,-38.36821635847323,3
192,-38.56909707239194,3
193,-38.76997778631064,3
194,-38.970858500229355,3
195,-39.171739214148054,3
196,-39.37261992806677,3
197,-39.57350064198548,3
198,-39.77438135590418,3
199,-39.9752620698229,3
200,-40.176142783741604,3
